Date,Location,Aboard,Fatalities
1928-05-26,"Radevormwald, Germany",5,3
1928-06-14,"Frankfurt, Germany",5,5
1928-06-22,"Lebo, Kansas",1,1
1928-07-10,Over the Gulf of Finland,6,6
1928-07-13,"Purley, England",4,4
1928-07-24,"Waalhaven harbor, Netherlands",1,1
1928-08-25,"Near Port Townsend, BC, Canada",7,7
1928-09-02,"Toul, France",3,3
1928-09-04,"Adelaide Hills, Australia",2,1
1928-09-04,"Pocatello, Idaho",7,7
1928-09-06,"Heroldbach, Germany",3,3
1928-10-04,"Gerona, Spain",3,3
1928-10-18,"Polk, Pennsylvania",1,1
1928-10-31,"Valence, France",2,1
1928-11-15,Off Gibraltar,2,1
1928-11-24,"Edgerton, Ohio",3,3
1928-11-25,"Bristolville, Ohio",1,1
1928-11-25,"Edgerton, Ohio",3,3
1928-12-01,"Spur, Texas",5,5
1928-12-03,Brazil,14,14
1928-12-04,"Rio de Janeiro, Brazil",6,6
1928-12-11,"Letzlingen, Germany",4,3
1928-12-20,"Huron, Ohio",1,1
1928-12-23,"Chattanooga, Tennessee",4,4
1928-12-31,"Reims, France",3,2
1929-01-05,"Stafford Springs, Connecticut",1,1
1929-01-18,"Cove, Oregon",1,1
1929-01-25,"Near Corfu, Greece",9,2
1929-01-31,"Morgantown, West Virginia",1,1
1929-01-31,Off Morocco,2,2
1929-03-17,"Newark, New Jersey",15,14
1929-03-30,"Near Beaumont, California",4,4
1929-04-21,"San Diego, California",6,6
1929-05-18,Hungary,2,2
1929-05-22,Algiers,5,4
1929-06-10,"Santiago de Cuba, Cuba",5,2
1929-06-14,"Barcelona, Spain",2,1
1929-06-17,"Off Dungeness, England",13,7
1929-06-24,"St. Paul, Minnesota",8,1
1929-06-29,"Lake Constance, Switzerland",5,5
1929-06-29,"Columbus, Ohio",1,1
1929-08-11,"Clovis, New Mexico",4,4
1929-08-13,"Perpignan, France",1,1
1929-08-24,"Sochi, Russia",1,1
1929-08-24,"Elm, Germany",5,4
1929-09-02,"Needles, California",2,1
1929-09-03,"Mt. Taylor, New Mexico",8,8
1929-09-06,"Jask, Iran",5,3
1929-09-17,"Off Larache, Morocco",5,5
1929-09-17,"Jacumba, California",2,1
1929-09-17,"Mt Lamentation, Connecticut",1,1
1929-10-26,"Off Spezia, Italy",7,7
1929-10-29,"Mount Vernon, Ohio",1,1
1929-10-31,"Off Bremerton, Washington",2,2
1929-11-04,"Cerro del Carbon, Mexico",4,4
1929-11-06,"Near Godstone, Surrey, England",8,7
1929-11-15,"Off Corsica, France",3,3
1929-11-30,"Vancouver, Washington",1,1
1929-12-02,"Chagrin Falls, Ohio",1,1
1929-12-14,Mediterranean Sea,3,3
1929-12-19,"Near Berlin, Germany",3,2
1929-12-30,"Amarillo, Texas",5,5
1930-01-10,"Brawnson, Nebraska",1,1
1930-01-13,"Antananarivo, Madagascar",3,3
1930-01-19,"Oceanside, California",16,16
1930-01-25,"Off Ceuta, Spain",2,2
1930-01-27,"Kansas City, Kansas",5,5
1930-02-03,"Hartford, Connecticut",1,1
1930-02-10,"Marden, England",2,2
1930-04-18,"Jersey City, New Jersey",4,4
1930-05-10,Buenos Aires,4,3
1930-06-05,"Boston, Massachusetts",15,1
1930-07-07,"Bornholm, Denmark",8,5
1930-07-10,"Arkansas Pass, Texas",5,5
1930-08-22,"Iglau, Czechoslovakia",11,10
1930-09-11,"Croydon, England",2,2
1930-09-25,"Southesk, Saskatchewan, Canada",3,3
1930-10-05,"Near Beauvais, France",54,48
1930-10-06,"Dresden, Germany",8,8
1930-10-12,"La Rache, Morocco",4,4
1930-10-28,"Prince Rupert, BC, Canada",3,3
1930-10-30,"Near Neufchatel, France",6,3
1930-10-30,"Brookston, Indiana",1,1
1930-11-07,"Off of Santos, Brazil",9,1
1930-11-18,"Techachapi Mountains, California",3,3
1930-12-09,"Shanghai, China",6,4
1931-01-08,"Melle, Belgium",2,2
1931-01-22,"Bluff Mountain, Washington",1,1
1931-02-08,"Wairoa, New Zealand",1,1
1931-02-20,"Bagot, Manitoba, Canada",3,2
1931-02-24,Off Spain,3,1
1931-03-21,"New South Wales, Australia",8,8
1931-03-31,"Bazaar, Kansas",8,8
1931-04-14,"Near Letschen, Germany",10,2
1931-05-05,"Burbank, California",2,2
1931-05-22,"Wampit, Australia",1,1
1931-05-24,"Bellefonte, Pennsylvania",1,1
1931-06-07,"Near Sandoway, Burma",4,4
1931-06-11,"Walbridge, Ohio",3,2
1931-06-13,"Saarbrucken, Germany",4,4
1931-07-12,"Chicago, Illinois",2,2
1931-07-14,"Temora, Australia",2,2
1931-07-21,"Centralia, Illinois",1,1
1931-07-24,"Kurudjevo, Bulgaria",7,7
1931-08-09,"Cincinnati, Ohio",6,6
1931-09-14,"Chicago, Illinois",1,1
1931-09-16,"Oakland, California",4,4
1931-10-06,"Novia Scotia, Canada",3,3
1931-10-14,Brazil,3,3
1931-11-05,"Camden, New Jersey",5,5
1931-11-13,"Sir Lowry's pass, South Africa",3,3
1931-11-23,"Salt Lake City, Utah",1,1
1931-11-24,"Near Tsinan, China",3,3
1931-11-26,"Pasco, Washington",1,1
1931-12-05,"Kewanee, Illinois",6,2
1931-12-06,"Bangkok, Thailand",7,5
1931-12-09,Off Algiers,2,2
1931-12-31,"Springfield, Ohio",5,4
