Date,Close/Last,Volume,Open,High,Low
2016-12-02,59,25464230,$59.08 ,$59.47 ,$58.80 
2016-12-05,60,23552030,$59.70 ,$60.59 ,$59.56 
2016-12-06,60,19966340,$60.43 ,$60.46 ,$59.80 
2016-12-07,61,30807320,$60.01 ,$61.38 ,$59.80 
2016-12-08,61,21201400,$61.30 ,$61.58 ,$60.84 
2016-12-09,62,27337160,$61.18 ,$61.99 ,$61.13 
2016-12-12,62,20186390,$61.82 ,$62.30 ,$61.72 
2016-12-13,63,35072050,$62.50 ,$63.42 ,$62.24 
2016-12-14,63,30335770,$63 ,$63.45 ,$62.53 
2016-12-15,63,27661180,$62.70 ,$63.15 ,$62.30 
2016-12-16,62,42452660,$62.95 ,$62.95 ,$62.12 
2016-12-19,64,34318500,$62.56 ,$63.77 ,$62.42 
2016-12-20,64,26017470,$63.69 ,$63.80 ,$63.03 
2016-12-21,64,17084370,$63.43 ,$63.70 ,$63.12 
2016-12-22,64,22175270,$63.84 ,$64.10 ,$63.41 
2016-12-23,63,12399540,$63.45 ,$63.54 ,$62.80 
2016-12-27,63,11743650,$63.21 ,$64.07 ,$63.21 
2016-12-28,63,14348340,$63.40 ,$63.40 ,$62.83 
2016-12-29,63,10248460,$62.86 ,$63.20 ,$62.73 
2016-12-30,62,25575720,$62.96 ,$62.99 ,$62.03 
2017-01-03,63,20655190,$62.79 ,$62.84 ,$62.13 
2017-01-04,62,21325140,$62.48 ,$62.75 ,$62.12 
2017-01-05,62,24866880,$62.19 ,$62.66 ,$62.03 
2017-01-06,63,19899270,$62.30 ,$63.15 ,$62.04 
2017-01-09,63,20374410,$62.76 ,$63.08 ,$62.54 
2017-01-10,63,18587170,$62.73 ,$63.07 ,$62.28 
2017-01-11,63,21503740,$62.61 ,$63.23 ,$62.43 
2017-01-12,63,20965490,$63.06 ,$63.40 ,$61.95 
2017-01-13,63,19421370,$62.62 ,$62.87 ,$62.35 
